step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
4,'C620327304','4','F','28007','M348934600','28007','es_transportation',20.47,0
4,'C1269635185','2','M','28007','M348934600','28007','es_transportation',48.9,0
4,'C483009385','3','F','28007','M348934600','28007','es_transportation',38.16,0
4,'C1761368684','1','F','28007','M855959430','28007','es_hyper',13.25,0
4,'C2106115023','5','M','28007','M348934600','28007','es_transportation',14.06,0
4,'C785603838','5','M','28007','M348934600','28007','es_transportation',8.24,0
4,'C1222389110','3','M','28007','M348934600','28007','es_transportation',31.11,0
4,'C1088464518','2','F','28007','M348934600','28007','es_transportation',4.58,0
4,'C1314685160','1','M','28007','M348934600','28007','es_transportation',42.63,0
4,'C1557540123','4','F','28007','M348934600','28007','es_transportation',4.47,0
4,'C1848884864','2','F','28007','M348934600','28007','es_transportation',25.32,0
4,'C1911293580','5','M','28007','M855959430','28007','es_hyper',50.86,0
4,'C1951890364','3','F','28007','M348934600','28007','es_transportation',6.2,0
4,'C1266329800','4','F','28007','M348934600','28007','es_transportation',39.18,0
4,'C2136553361','2','F','28007','M348934600','28007','es_transportation',42.74,0
4,'C668289079','5','F','28007','M348934600','28007','es_transportation',13.08,0
4,'C1520545421','1','M','28007','M151143676','28007','es_barsandrestaurants',23.95,0
4,'C423454023','3','M','28007','M1823072687','28007','es_transportation',15.71,0
4,'C578700012','4','F','28007','M348934600','28007','es_transportation',30.66,0
4,'C1527362143','6','M','28007','M348934600','28007','es_transportation',35.48,0
4,'C149698808','2','F','28007','M348934600','28007','es_transportation',3.06,0
4,'C761166755','3','F','28007','M855959430','28007','es_hyper',31.45,0
4,'C2111849765','2','M','28007','M1823072687','28007','es_transportation',34.68,0
4,'C1953142190','2','M','28007','M348934600','28007','es_transportation',37.42,0
4,'C2084449024','4','F','28007','M348934600','28007','es_transportation',39.31,0
4,'C861856179','1','M','28007','M348934600','28007','es_transportation',62.87,0
4,'C896894357','3','M','28007','M1823072687','28007','es_transportation',3.41,0
4,'C803065678','1','M','28007','M348934600','28007','es_transportation',45.2,0
4,'C395508885','4','M','28007','M348934600','28007','es_transportation',35.22,0
4,'C1465698425','2','M','28007','M348934600','28007','es_transportation',23.93,0
4,'C411345215','1','F','28007','M348934600','28007','es_transportation',25.67,0
4,'C1862556322','3','F','28007','M348934600','28007','es_transportation',38.01,0
4,'C956898918','2','F','28007','M348934600','28007','es_transportation',7.11,0
4,'C1739741081','4','F','28007','M348934600','28007','es_transportation',53.4,0
4,'C416536713','2','F','28007','M348934600','28007','es_transportation',20.43,0
4,'C1846201961','3','M','28007','M348934600','28007','es_transportation',33.64,0
4,'C1128965136','2','F','28007','M1600850729','28007','es_fashion',33.63,0
4,'C1896828249','2','M','28007','M348934600','28007','es_transportation',0.16,0
4,'C1014313887','5','F','28007','M348934600','28007','es_transportation',18.09,0
4,'C775533998','2','F','28007','M348934600','28007','es_transportation',20.08,0
4,'C1683902488','3','F','28007','M348934600','28007','es_transportation',16.76,0
4,'C1971105040','3','M','28007','M151143676','28007','es_barsandrestaurants',6.56,0
4,'C326815335','1','F','28007','M348934600','28007','es_transportation',12.55,0
4,'C1702404555','3','M','28007','M348934600','28007','es_transportation',32.77,0
4,'C1655680166','3','M','28007','M348934600','28007','es_transportation',23.38,0
4,'C1787537369','2','M','28007','M1823072687','28007','es_transportation',27.93,0
4,'C1078619612','6','F','28007','M348934600','28007','es_transportation',14.63,0
4,'C1937615372','4','F','28007','M1823072687','28007','es_transportation',22.71,0
4,'C563092648','6','F','28007','M1823072687','28007','es_transportation',15.19,0
4,'C380412694','1','M','28007','M1823072687','28007','es_transportation',20.93,0
4,'C164104645','5','F','28007','M1823072687','28007','es_transportation',7.42,0
4,'C1913127981','4','F','28007','M348934600','28007','es_transportation',5.14,0
4,'C899204870','3','M','28007','M1823072687','28007','es_transportation',15.16,0
4,'C1821035128','4','M','28007','M1823072687','28007','es_transportation',12.95,0
4,'C2119675022','6','F','28007','M348934600','28007','es_transportation',43.97,0
4,'C121798652','3','F','28007','M1053599405','28007','es_health',293.16,0
4,'C987620594','5','F','28007','M348934600','28007','es_transportation',12.25,0
4,'C1740004679','3','F','28007','M348934600','28007','es_transportation',20.47,0
4,'C47652503','5','F','28007','M1823072687','28007','es_transportation',30.77,0
4,'C295271306','6','F','28007','M1823072687','28007','es_transportation',33.16,0
4,'C200459252','1','M','28007','M348934600','28007','es_transportation',5.21,0
4,'C650108285','4','F','28007','M1823072687','28007','es_transportation',34.1,0
4,'C480975116','2','M','28007','M348934600','28007','es_transportation',10.75,0
4,'C1886601622','3','M','28007','M348934600','28007','es_transportation',22.96,0
4,'C1963249369','4','F','28007','M1823072687','28007','es_transportation',50.16,0
4,'C1804573810','2','F','28007','M348934600','28007','es_transportation',61.9,0
4,'C800967034','3','F','28007','M85975013','28007','es_food',31.7,0
4,'C170769685','4','M','28007','M348934600','28007','es_transportation',50.05,0
4,'C1680347409','2','F','28007','M348934600','28007','es_transportation',35.3,0
4,'C2104185147','2','F','28007','M348934600','28007','es_transportation',17.9,0
4,'C688041542','2','M','28007','M1823072687','28007','es_transportation',5.25,0
4,'C299357678','3','F','28007','M348934600','28007','es_transportation',45.75,0
4,'C665566426','3','F','28007','M1823072687','28007','es_transportation',77.67,0
4,'C885081673','3','M','28007','M1823072687','28007','es_transportation',14.59,0
4,'C1809104609','1','F','28007','M348934600','28007','es_transportation',2.29,0
4,'C1809104609','1','F','28007','M1823072687','28007','es_transportation',11.75,0
4,'C1496334304','2','F','28007','M348934600','28007','es_transportation',33.2,0
4,'C1496334304','2','F','28007','M1823072687','28007','es_transportation',54.56,0
4,'C944634193','5','F','28007','M348934600','28007','es_transportation',28.69,0
4,'C2089485741','3','M','28007','M348934600','28007','es_transportation',75.95,0
4,'C1395098424','2','F','28007','M348934600','28007','es_transportation',52.89,0
4,'C1980881901','4','M','28007','M348934600','28007','es_transportation',43.38,0
4,'C693174391','3','F','28007','M1823072687','28007','es_transportation',48.88,0
4,'C1080719046','3','M','28007','M348934600','28007','es_transportation',9.78,0
4,'C1903856065','1','M','28007','M348934600','28007','es_transportation',32.56,0
4,'C301483725','4','M','28007','M1823072687','28007','es_transportation',21.66,0
4,'C830078297','5','F','28007','M855959430','28007','es_hyper',20.42,0
4,'C947010068','4','F','28007','M348934600','28007','es_transportation',48.28,0
4,'C44197733','2','M','28007','M348934600','28007','es_transportation',16.48,0
4,'C17059521','2','M','28007','M348934600','28007','es_transportation',19.3,0
4,'C168579211','3','F','28007','M348934600','28007','es_transportation',2.51,0
4,'C1992960127','3','F','28007','M348934600','28007','es_transportation',4.8,0
4,'C935791733','3','U','28007','M1823072687','28007','es_transportation',39.61,0
4,'C1870872671','2','F','28007','M1823072687','28007','es_transportation',23.91,0
4,'C795132749','5','F','28007','M348934600','28007','es_transportation',43.6,0
4,'C1194320883','4','F','28007','M348934600','28007','es_transportation',47.39,0
4,'C1990341771','4','F','28007','M1888755466','28007','es_otherservices',76.63,0
4,'C75274383','4','M','28007','M1823072687','28007','es_transportation',19.32,0
4,'C1744280753','2','M','28007','M1198415165','28007','es_wellnessandbeauty',131.0,0
4,'C343512101','3','M','28007','M348934600','28007','es_transportation',10.28,0
4,'C810569063','2','F','28007','M348934600','28007','es_transportation',15.96,0
4,'C249282739','4','M','28007','M348934600','28007','es_transportation',4.71,0
4,'C1597422235','3','F','28007','M348934600','28007','es_transportation',32.12,0
4,'C1738944491','2','M','28007','M348934600','28007','es_transportation',13.89,0
4,'C757503768','5','M','28007','M209847108','28007','es_wellnessandbeauty',81.63,0
4,'C869565327','5','F','28007','M348934600','28007','es_transportation',48.37,0
4,'C1524019070','3','M','28007','M348934600','28007','es_transportation',23.35,0
4,'C779868884','1','M','28007','M348934600','28007','es_transportation',49.46,0
4,'C1279143519','5','F','28007','M348934600','28007','es_transportation',33.83,0
4,'C1991822900','3','F','28007','M923029380','28007','es_home',120.87,1
4,'C295362058','4','M','28007','M923029380','28007','es_home',181.55,1
4,'C1396720108','1','M','28007','M1823072687','28007','es_transportation',8.18,0
4,'C1948527523','5','M','28007','M348934600','28007','es_transportation',28.08,0
4,'C1569939854','6','F','28007','M348934600','28007','es_transportation',3.58,0
4,'C1949469724','3','F','28007','M348934600','28007','es_transportation',28.43,0
4,'C47809392','3','M','28007','M348934600','28007','es_transportation',9.74,0
4,'C36546691','3','F','28007','M1823072687','28007','es_transportation',31.94,0
4,'C1965708710','1','M','28007','M1053599405','28007','es_health',124.96,0
4,'C1603928569','3','F','28007','M1823072687','28007','es_transportation',40.68,0
4,'C636259913','1','M','28007','M348934600','28007','es_transportation',33.23,0
4,'C1191832390','2','M','28007','M348934600','28007','es_transportation',54.84,0
4,'C1971153898','3','M','28007','M348934600','28007','es_transportation',30.15,0
4,'C1734287915','2','F','28007','M348934600','28007','es_transportation',38.61,0
4,'C333484923','4','M','28007','M348934600','28007','es_transportation',45.2,0
4,'C333484923','4','M','28007','M1823072687','28007','es_transportation',4.54,0
4,'C495652708','2','M','28007','M1823072687','28007','es_transportation',27.4,0
4,'C1640022626','6','M','28007','M85975013','28007','es_food',9.43,0
4,'C2140473917','3','F','28007','M348934600','28007','es_transportation',35.27,0
4,'C1648082819','3','M','28007','M348934600','28007','es_transportation',0.52,0
4,'C1812521679','4','M','28007','M348934600','28007','es_transportation',46.96,0
4,'C588841669','2','F','28007','M348934600','28007','es_transportation',3.05,0
4,'C445134555','0','F','28007','M480139044','28007','es_health',833.47,1
4,'C553434543','2','M','28007','M480139044','28007','es_health',34.32,1
4,'C1121327223','2','F','28007','M1823072687','28007','es_transportation',57.4,0
4,'C1256908044','3','F','28007','M1842530320','28007','es_tech',9.43,0
4,'C1350793893','1','M','28007','M151143676','28007','es_barsandrestaurants',51.24,0
4,'C1552608695','6','F','28007','M1823072687','28007','es_transportation',39.75,0
4,'C35785606','2','F','28007','M855959430','28007','es_hyper',57.14,0
4,'C268949400','4','M','28007','M1823072687','28007','es_transportation',31.23,0
4,'C161678291','3','F','28007','M348934600','28007','es_transportation',18.66,0
4,'C117112395','3','F','28007','M1823072687','28007','es_transportation',37.68,0
4,'C2037169176','1','F','28007','M348934600','28007','es_transportation',27.24,0
4,'C578309168','4','M','28007','M692898500','28007','es_health',203.66,0
4,'C1468773146','3','M','28007','M348934600','28007','es_transportation',12.95,0
4,'C749077907','4','M','28007','M348934600','28007','es_transportation',41.3,0
4,'C671449181','3','F','28007','M1535107174','28007','es_wellnessandbeauty',151.08,0
4,'C1617276678','3','M','28007','M348934600','28007','es_transportation',49.53,0
4,'C1179217322','5','F','28007','M1823072687','28007','es_transportation',38.12,0
4,'C367433559','2','M','28007','M348934600','28007','es_transportation',18.57,0
4,'C26045684','4','F','28007','M348934600','28007','es_transportation',3.87,0
4,'C1739468858','2','F','28007','M2122776122','28007','es_home',36.51,0
4,'C1822295676','3','M','28007','M980657600','28007','es_sportsandtoys',43.88,0
4,'C298468219','4','M','28007','M1823072687','28007','es_transportation',4.08,0
4,'C1396904959','3','M','28007','M348934600','28007','es_transportation',19.64,0
4,'C22162402','2','M','28007','M348934600','28007','es_transportation',33.53,0
4,'C441400844','3','F','28007','M151143676','28007','es_barsandrestaurants',80.02,0
4,'C2140000055','3','M','28007','M348934600','28007','es_transportation',31.81,0
4,'C1084672760','2','F','28007','M151143676','28007','es_barsandrestaurants',26.73,0
4,'C760223382','3','F','28007','M348934600','28007','es_transportation',6.94,0
4,'C1196149230','3','F','28007','M348934600','28007','es_transportation',33.72,0
4,'C116665031','2','F','28007','M348934600','28007','es_transportation',16.07,0
4,'C571876967','4','M','28007','M1823072687','28007','es_transportation',41.74,0
4,'C1516006997','2','M','28007','M348934600','28007','es_transportation',33.76,0
4,'C635222317','3','F','28007','M348934600','28007','es_transportation',14.29,0
4,'C1022153336','5','F','28007','M348934600','28007','es_transportation',10.25,0
4,'C1344489848','4','F','28007','M348934600','28007','es_transportation',16.84,0
4,'C697242067','5','M','28007','M348934600','28007','es_transportation',3.58,0
4,'C497088099','2','M','28007','M348934600','28007','es_transportation',44.15,0
4,'C1240209240','1','F','28007','M348934600','28007','es_transportation',2.75,0
4,'C1501156188','5','F','28007','M348934600','28007','es_transportation',26.95,0
4,'C366069783','4','F','28007','M348934600','28007','es_transportation',0.33,0
4,'C1828345671','4','M','28007','M1823072687','28007','es_transportation',50.63,0
4,'C1236489588','2','F','28007','M348934600','28007','es_transportation',35.32,0
4,'C1577104524','2','M','28007','M348934600','28007','es_transportation',46.62,0
4,'C74457300','1','F','28007','M348934600','28007','es_transportation',26.8,0
4,'C423379854','2','M','28007','M1823072687','28007','es_transportation',26.94,0
4,'C1129265408','3','F','28007','M348934600','28007','es_transportation',36.98,0
4,'C851156881','1','M','28007','M348934600','28007','es_transportation',48.08,0
4,'C831378949','2','M','28007','M348934600','28007','es_transportation',18.56,0
4,'C1760986787','2','M','28007','M85975013','28007','es_food',8.27,0
4,'C1057285507','5','M','28007','M348934600','28007','es_transportation',51.34,0
4,'C1806963277','3','M','28007','M1823072687','28007','es_transportation',10.21,0
4,'C260437492','3','F','28007','M1946091778','28007','es_wellnessandbeauty',48.77,0
4,'C312053639','3','M','28007','M348934600','28007','es_transportation',19.59,0
4,'C229592862','4','F','28007','M348934600','28007','es_transportation',23.96,0
4,'C823141445','1','F','28007','M348934600','28007','es_transportation',27.01,0
4,'C378899672','1','F','28007','M1823072687','28007','es_transportation',2.14,0
4,'C278676105','3','F','28007','M348934600','28007','es_transportation',22.59,0
4,'C2081956948','2','M','28007','M348934600','28007','es_transportation',40.21,0
4,'C1984017083','2','M','28007','M151143676','28007','es_barsandrestaurants',29.24,0
4,'C1920284556','2','F','28007','M348934600','28007','es_transportation',18.52,0
4,'C1973547259','3','M','28007','M348934600','28007','es_transportation',13.99,0
4,'C507179979','2','F','28007','M1823072687','28007','es_transportation',11.57,0
4,'C102364766','2','F','28007','M348934600','28007','es_transportation',47.27,0
4,'C729168812','3','F','28007','M348934600','28007','es_transportation',6.77,0
4,'C1287167517','2','F','28007','M209847108','28007','es_wellnessandbeauty',46.16,0
4,'C155920620','2','M','28007','M348934600','28007','es_transportation',6.52,0
4,'C1426420214','1','M','28007','M1823072687','28007','es_transportation',33.13,0
4,'C1445784416','4','M','28007','M348934600','28007','es_transportation',44.85,0
4,'C458379262','5','F','28007','M348934600','28007','es_transportation',17.82,0
4,'C83613815','2','F','28007','M348934600','28007','es_transportation',6.64,0
4,'C128008012','5','F','28007','M348934600','28007','es_transportation',40.95,0
4,'C2039473569','2','M','28007','M348934600','28007','es_transportation',9.2,0
4,'C913863966','6','M','28007','M348934600','28007','es_transportation',53.02,0
4,'C864602023','5','M','28007','M348934600','28007','es_transportation',2.67,0
4,'C1508373758','3','M','28007','M348934600','28007','es_transportation',21.23,0
4,'C759167881','2','F','28007','M348934600','28007','es_transportation',49.76,0
4,'C323226584','5','M','28007','M1888755466','28007','es_otherservices',147.06,0
4,'C447271561','3','M','28007','M348934600','28007','es_transportation',9.08,0
4,'C639532055','4','F','28007','M1823072687','28007','es_transportation',11.64,0
4,'C962248715','3','F','28007','M348934600','28007','es_transportation',9.97,0
4,'C2068249421','5','M','28007','M348934600','28007','es_transportation',38.71,0
4,'C750572020','5','M','28007','M348934600','28007','es_transportation',40.25,0
4,'C638163213','1','F','28007','M348934600','28007','es_transportation',22.09,0
4,'C56690195','2','M','28007','M1823072687','28007','es_transportation',11.68,0
4,'C438957460','4','M','28007','M1823072687','28007','es_transportation',5.47,0
4,'C33469777','1','M','28007','M151143676','28007','es_barsandrestaurants',44.61,0
4,'C1047374909','6','F','28007','M348934600','28007','es_transportation',13.56,0
4,'C245019752','2','F','28007','M348934600','28007','es_transportation',33.41,0
4,'C1435653171','1','F','28007','M547558035','28007','es_fashion',15.24,0
4,'C419087520','2','M','28007','M348934600','28007','es_transportation',3.19,0
4,'C967677653','4','F','28007','M480139044','28007','es_health',89.36,0
4,'C2145933360','5','F','28007','M348934600','28007','es_transportation',32.14,0
4,'C251630036','4','F','28007','M1823072687','28007','es_transportation',13.25,0
4,'C784613823','5','F','28007','M348934600','28007','es_transportation',31.56,0
4,'C1402381285','4','F','28007','M855959430','28007','es_hyper',12.01,0
4,'C1476491893','3','F','28007','M348934600','28007','es_transportation',16.62,0
4,'C227356089','2','F','28007','M348934600','28007','es_transportation',11.52,0
4,'C672742304','4','M','28007','M348934600','28007','es_transportation',76.05,0
4,'C574062699','2','M','28007','M348934600','28007','es_transportation',38.67,0
4,'C616472041','2','M','28007','M151143676','28007','es_barsandrestaurants',60.86,0
4,'C2134043204','3','M','28007','M348934600','28007','es_transportation',18.14,0
4,'C765155274','1','F','28007','M348934600','28007','es_transportation',23.22,0
4,'C1594422820','4','F','28007','M348934600','28007','es_transportation',6.01,0
4,'C165037464','1','F','28007','M1823072687','28007','es_transportation',25.23,0
4,'C2005297705','3','M','28007','M348934600','28007','es_transportation',54.81,0
