step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C1093826151','4','M','28007','M348934600','28007','es_transportation',4.55,0
0,'C352968107','2','M','28007','M348934600','28007','es_transportation',39.68,0
0,'C2054744914','4','F','28007','M1823072687','28007','es_transportation',26.89,0
0,'C1760612790','3','M','28007','M348934600','28007','es_transportation',17.25,0
0,'C757503768','5','M','28007','M348934600','28007','es_transportation',35.72,0
0,'C1315400589','3','F','28007','M348934600','28007','es_transportation',25.81,0
0,'C765155274','1','F','28007','M348934600','28007','es_transportation',9.1,0
0,'C202531238','4','F','28007','M348934600','28007','es_transportation',21.17,0
0,'C105845174','3','M','28007','M348934600','28007','es_transportation',32.4,0
0,'C39858251','5','F','28007','M348934600','28007','es_transportation',35.4,0
0,'C98707741','4','F','28007','M348934600','28007','es_transportation',14.95,0
0,'C1551465414','1','M','28007','M1823072687','28007','es_transportation',1.51,0
0,'C623601481','3','M','28007','M50039827','28007','es_health',68.79,0
0,'C1865204568','5','M','28007','M1823072687','28007','es_transportation',20.32,0
0,'C490238464','3','M','28007','M348934600','28007','es_transportation',13.56,0
0,'C194016923','3','F','28007','M348934600','28007','es_transportation',30.19,0
0,'C1207205377','4','M','28007','M1823072687','28007','es_transportation',17.54,0
0,'C834963773','5','F','28007','M348934600','28007','es_transportation',40.69,0
0,'C1897705669','2','M','28007','M348934600','28007','es_transportation',21.21,0
0,'C124539163','2','F','28007','M348934600','28007','es_transportation',10.09,0
0,'C1687101094','2','F','28007','M348934600','28007','es_transportation',19.31,0
0,'C1695454092','2','M','28007','M348934600','28007','es_transportation',44.22,0
0,'C986553990','5','F','28007','M348934600','28007','es_transportation',44.39,0
0,'C819690995','5','F','28007','M348934600','28007','es_transportation',30.72,0
0,'C1622124632','2','M','28007','M348934600','28007','es_transportation',29.84,0
0,'C187514477','3','M','28007','M348934600','28007','es_transportation',12.1,0
0,'C272748313','4','M','28007','M348934600','28007','es_transportation',24.84,0
0,'C490092965','2','M','28007','M348934600','28007','es_transportation',16.42,0
0,'C546957379','5','M','28007','M348934600','28007','es_transportation',2.19,0
0,'C1563705147','5','F','28007','M348934600','28007','es_transportation',32.27,0
0,'C1273110804','4','M','28007','M348934600','28007','es_transportation',28.09,0
0,'C1582366224','5','M','28007','M1823072687','28007','es_transportation',16.13,0
0,'C998987490','2','F','28007','M348934600','28007','es_transportation',32.7,0
0,'C1413412440','2','F','28007','M348934600','28007','es_transportation',25.53,0
0,'C1166355595','4','F','28007','M348934600','28007','es_transportation',39.22,0
0,'C719598710','5','F','28007','M348934600','28007','es_transportation',46.14,0
0,'C1161949399','2','M','28007','M348934600','28007','es_transportation',29.55,0
0,'C60351691','2','F','28007','M1823072687','28007','es_transportation',36.88,0
0,'C1769927077','2','F','28007','M348934600','28007','es_transportation',36.15,0
0,'C995844287','5','F','28007','M348934600','28007','es_transportation',2.81,0
0,'C1425441042','2','M','28007','M1888755466','28007','es_otherservices',87.67,0
0,'C337109624','2','F','28007','M1823072687','28007','es_transportation',11.17,0
0,'C1635613216','4','F','28007','M1053599405','28007','es_health',105.59,0
0,'C996804095','3','M','28007','M348934600','28007','es_transportation',15.25,0
0,'C1331907286','2','M','28007','M348934600','28007','es_transportation',33.36,0
0,'C506520283','4','F','28007','M348934600','28007','es_transportation',32.96,0
0,'C83613815','2','F','28007','M348934600','28007','es_transportation',16.96,0
0,'C1697528836','3','F','28007','M1823072687','28007','es_transportation',49.91,0
0,'C168310052','2','M','28007','M348934600','28007','es_transportation',0.93,0
0,'C2096367617','2','M','28007','M348934600','28007','es_transportation',37.71,0
0,'C1870872671','2','F','28007','M1823072687','28007','es_transportation',12.53,0
0,'C823286801','2','F','28007','M348934600','28007','es_transportation',56.97,0
0,'C1038996959','2','M','28007','M348934600','28007','es_transportation',31.32,0
0,'C345742557','5','F','28007','M348934600','28007','es_transportation',21.15,0
0,'C638163213','1','F','28007','M348934600','28007','es_transportation',3.12,0
0,'C1941625566','3','F','28007','M348934600','28007','es_transportation',33.41,0
0,'C1180570487','6','F','28007','M1823072687','28007','es_transportation',45.92,0
0,'C51444479','3','M','28007','M348934600','28007','es_transportation',36.82,0
0,'C153419170','3','F','28007','M1823072687','28007','es_transportation',20.05,0
0,'C574062699','2','M','28007','M348934600','28007','es_transportation',43.75,0
0,'C1087788850','4','M','28007','M348934600','28007','es_transportation',44.88,0
0,'C2126436338','1','F','28007','M348934600','28007','es_transportation',18.45,0
0,'C1820855004','2','F','28007','M348934600','28007','es_transportation',29.66,0
0,'C487569403','2','M','28007','M348934600','28007','es_transportation',28.38,0
0,'C923875417','5','F','28007','M348934600','28007','es_transportation',62.76,0
0,'C579037870','6','M','28007','M348934600','28007','es_transportation',21.6,0
0,'C662931726','2','F','28007','M348934600','28007','es_transportation',30.74,0
0,'C671524709','5','F','28007','M348934600','28007','es_transportation',58.33,0
0,'C476477241','4','M','28007','M348934600','28007','es_transportation',44.07,0
0,'C327430270','5','F','28007','M348934600','28007','es_transportation',6.52,0
0,'C1879341237','4','M','28007','M1823072687','28007','es_transportation',2.96,0
0,'C1655037147','2','F','28007','M348934600','28007','es_transportation',44.69,0
0,'C864655240','2','F','28007','M1823072687','28007','es_transportation',5.01,0
0,'C72353846','2','M','28007','M348934600','28007','es_transportation',9.74,0
0,'C1591908890','2','M','28007','M348934600','28007','es_transportation',10.1,0
0,'C1156346576','4','F','28007','M348934600','28007','es_transportation',58.64,0
0,'C1771717627','2','F','28007','M348934600','28007','es_transportation',29.2,0
0,'C156162339','2','F','28007','M85975013','28007','es_food',32.6,0
0,'C588719767','2','M','28007','M348934600','28007','es_transportation',52.35,0
0,'C118437987','2','M','28007','M1053599405','28007','es_health',159.92,0
0,'C1130259702','3','M','28007','M348934600','28007','es_transportation',26.37,0
0,'C1738944491','2','M','28007','M348934600','28007','es_transportation',49.07,0
0,'C1950723662','2','F','28007','M348934600','28007','es_transportation',35.74,0
0,'C1987405562','5','F','28007','M1823072687','28007','es_transportation',47.53,0
0,'C1988407051','5','M','28007','M348934600','28007','es_transportation',29.87,0
